run [pow 10]	solution val	
1592	0.221586	
1593	0.221572	
1594	0.221585	
1595	0.22156	
1596	0.221542	
1597	0.22151	
1598	0.221524	
1599	0.221502	
1600	0.221544	
1601	0.221569	
1602	0.221556	
1603	0.221598	
1604	0.221581	
1605	0.221565	
1606	0.221584	
1607	0.221593	
1608	0.221626	
1609	0.221621	
1610	0.221614	
1611	0.221681	
1612	0.221666	
1613	0.221683	
1614	0.221661	
1615	0.221645	
1616	0.22172	
1617	0.221694	
1618	0.22167	
1619	0.221692	
1620	0.221677	
1621	0.221695	
1622	0.221712	
1623	0.221693	
1624	0.221663	
1625	0.221635	
1626	0.221676	
1627	0.221685	
1628	0.221664	
1629	0.221635	
1630	0.221644	
1631	0.221659	
1632	0.221626	
1633	0.221608	
1634	0.221593	
1635	0.221595	
1636	0.221565	
1637	0.221552	
1638	0.221578	
1639	0.221551	
1640	0.22152	
1641	0.221564	
1642	0.221561	
1643	0.221536	
1644	0.22165	
1645	0.221638	
1646	0.221612	
1647	0.221589	
1648	0.221567	
1649	0.221564	
1650	0.221556	
1651	0.221545	
1652	0.221569	
1653	0.221541	
1654	0.221533	
1655	0.221579	
1656	0.22161	
1657	0.221612	
1658	0.221642	
